datetime,open,high,low,close
2021-05-18,1.2153,1.22345,1.2151,1.222
2021-05-17,1.214,1.21695,1.21255,1.2151
2021-05-14,1.208,1.21505,1.20705,1.214
2021-05-13,1.2073,1.2108,1.20505,1.2078
2021-05-12,1.2148,1.21525,1.2065,1.2069
2021-05-11,1.2129,1.21815,1.21225,1.2146
2021-05-10,1.2161,1.21785,1.21275,1.2129
2021-05-07,1.2066,1.21725,1.20525,1.2163
2021-05-06,1.2005,1.20725,1.19925,1.2064
2021-05-05,1.2013,1.20275,1.19855,1.2005
2021-05-04,1.2064,1.2066,1.19985,1.2013
2021-05-03,1.2031,1.20765,1.20125,1.2061
2021-04-30,1.2116,1.21275,1.2016,1.2018
2021-04-29,1.2126,1.21505,1.2102,1.2118
2021-04-28,1.2091,1.21355,1.20555,1.2123
2021-04-27,1.2086,1.20935,1.2056,1.209
2021-04-26,1.20935,1.21175,1.20605,1.2083
2021-04-23,1.2015,1.21005,1.2012,1.2099
2021-04-22,1.2035,1.20705,1.1993,1.2015
2021-04-21,1.2037,1.20445,1.1998,1.2033
2021-04-20,1.2036,1.20805,1.2022,1.2033
2021-04-19,1.1984,1.2049,1.1942,1.2033
2021-04-16,1.1967,1.19955,1.195,1.1983
2021-04-15,1.198,1.19945,1.19555,1.1965
2021-04-14,1.19485,1.1988,1.19465,1.1978
2021-04-13,1.1911,1.19565,1.18785,1.1946
2021-04-12,1.1891,1.192,1.18705,1.1909
2021-04-09,1.1913,1.1921,1.18665,1.1896
2021-04-08,1.1867,1.1928,1.18605,1.1912
2021-04-07,1.1875,1.19155,1.18605,1.187
2021-04-06,1.1814,1.18785,1.1795,1.1875
2021-04-05,1.1761,1.18205,1.17375,1.1811
2021-04-02,1.1777,1.17875,1.17485,1.1762
2021-04-01,1.17305,1.17805,1.17125,1.1775
2021-03-31,1.1716,1.17605,1.17035,1.1728
2021-03-30,1.1764,1.17745,1.17115,1.1714
2021-03-29,1.1795,1.1797,1.17605,1.1762
2021-03-26,1.17635,1.18055,1.1763,1.1796
2021-03-25,1.1813,1.18285,1.17615,1.1764
2021-03-24,1.1851,1.1854,1.1809,1.1812
2021-03-23,1.1935,1.19415,1.18415,1.1849
2021-03-22,1.1899,1.19475,1.1871,1.1931
2021-03-19,1.1915,1.1939,1.18735,1.1903
2021-03-18,1.1979,1.19895,1.1906,1.1915
2021-03-17,1.1906,1.1986,1.18855,1.1978
2021-03-16,1.1929,1.19525,1.1882,1.19
2021-03-15,1.1952,1.19685,1.19105,1.1928
2021-03-12,1.1983,1.19895,1.19095,1.1952
2021-03-11,1.19285,1.19905,1.19155,1.1984
2021-03-10,1.19,1.19305,1.18685,1.1925
2021-03-09,1.1847,1.19165,1.1835,1.1898
2021-03-08,1.1922,1.1933,1.18435,1.1843
2021-03-05,1.1968,1.19785,1.18935,1.1917
2021-03-04,1.20635,1.20675,1.1961,1.1966
2021-03-03,1.2091,1.21135,1.20425,1.2062
2021-03-02,1.2049,1.2095,1.1991,1.2089
2021-03-01,1.2079,1.2102,1.2027,1.2047
2021-02-26,1.21755,1.21855,1.2062,1.2074
2021-02-25,1.2163,1.22435,1.21555,1.2176
2021-02-24,1.215,1.2176,1.21085,1.2164
2021-02-23,1.21555,1.21805,1.2135,1.2149
2021-02-22,1.2117,1.21705,1.20905,1.2154
2021-02-19,1.2091,1.2145,1.20815,1.2117
2021-02-18,1.2037,1.20955,1.2035,1.2088
2021-02-17,1.2107,1.2111,1.20225,1.2036
2021-02-16,1.213,1.21705,1.20945,1.2104
2021-02-15,1.2123,1.21455,1.2116,1.2127
2021-02-12,1.213,1.21355,1.2081,1.2118
2021-02-11,1.2118,1.215,1.21125,1.2128
2021-02-10,1.2119,1.21445,1.2108,1.2116
2021-02-09,1.20485,1.21225,1.20445,1.2117
2021-02-08,1.2042,1.2067,1.20185,1.2048
2021-02-05,1.1964,1.20505,1.19515,1.2042
2021-02-04,1.20335,1.20435,1.1957,1.1962
2021-02-03,1.2044,1.20505,1.20025,1.2034
2021-02-02,1.20585,1.20885,1.20105,1.2042
2021-02-01,1.214,1.2146,1.20535,1.2059
2021-01-29,1.21215,1.21565,1.2093,1.2136
2021-01-28,1.21085,1.21425,1.20795,1.2121
2021-01-27,1.216,1.21705,1.2057,1.2108
